"","X","agency_cd","site_no","measurement_nu","measurement_dt","tz_cd","q_meas_used_fg","party_nm","site_visit_coll_agency_cd","gage_height_va","discharge_va","current_rating_nu","shift_adj_va","diff_from_rating_pc","measured_rating_diff","gage_va_change","gage_va_time","control_type_cd","discharge_cd","chan_nu","chan_name","meas_type","streamflow_method","velocity_method","chan_discharge","chan_width","chan_area","chan_velocity","chan_stability","chan_material","chan_evenness","long_vel_desc","horz_vel_desc","vert_vel_desc","chan_loc_cd","chan_loc_dist","river_name","SLOPE","LatSite","LonSite","area","width","velocity","slope","depth","n"
"359072",554440,"USGS",6218500,"602","2004-03-17 11:30:00","MST","Yes","GAL","USGS",2.33,54.9,"",NA,NA,"Fair",0.01,0.5,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",54.9,73,57.9,0.82,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"wind r",0.00499,43.57856415,-109.7598835,5.3790837,22.265,0.2501,0.00499,0.241593698630137,0.109562091996899
"248206",460321,"USGS",1598500,"459","2001-11-30 14:15:00","EST","Yes","JEB","USGS",1.84,188,"19.0",0,0.5,"GOOD",0,1,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",188,99,181,1.04,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"potomac r",0.00122235,39.4789722,-79.0637778,16.815443,30.195,0.3172,0.00122235,0.556894949494949,0.0746070948696469
"183246",229522,"USGS",6807000,"2270","1963-04-09 10:15:00","CST","Yes","EDS","USGS",7.63,33300,"",0,NA,"GOOD",-0.01,2,"","MEAS",1,"Unspecified","CRAN","QUNSP","",33300,704,6600,5.05,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00018533,40.681946,-95.846946,613.1598,214.72,1.54025,0.00018533,2.855625,0.0177902654798605
"268850",280600,"USGS",14330000,"297","2014-07-17 11:34:03","PDT","Yes","MDS","USGS",1.77,793,"",NA,NA,"Fair",0,0.5,"DebrisLight","MEAS",1,"main","CWAY","QADCP","VADCP",793,97.3,354,2.24,"FIRM","BLDR","UNEV","unkn","UNEV","NSTD","UPST",30,"rogue r",0.03520018,42.72957187,-122.516147,32.887662,29.6765,0.6832,0.03520018,1.10820554984584,0.294084046144871
"360573",941861,"USGS",6259000,"460","1987-01-29","","Yes","RCB","USGS",4.58,1080,"",NA,NA,"Fair",0.04,1,"Clear","MEAS",1,"Imported Channel 1","CWAY","unspe","unkno",1080,185,622,1.73,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"wind r",0.02601307,43.4249575,-108.1789858,57.785666,56.425,0.52765,0.02601307,1.02411459459459,0.310562417834785
"307341",1791059,"USGS",13038500,"178","1994-11-10 11:00:00","MST","Yes","KDB","USGS",4.14,837,"",NA,NA,"Good",-0.01,1.2,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",837,280,263,3.18,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"snake r",0.00046296,43.73527778,-111.8780556,24.433489,85.4,0.9699,0.00046296,0.286106428571429,0.00963229672771133
"207586",289441,"USGS",1595800,"289","2015-06-16 07:49:31","EST","Yes","CWK/CDW","USGS",2.92,214,"11.0",-0.02,2.9,"FAIR",0.01,0.3,"CLER","MEAS",1,"289","CWAY","QADCP","VADCP",213,146,281,0.77,"FIRM","BLDR","UNEV","UNSP","UNEV","UNSP","DNST",200,"north branch potomac r",0.00876884,39.4451111,-79.1108056,26.105743,44.53,0.23485,0.00876884,0.586250684931507,0.27929902339767
"300726",283785,"USGS",10224000,"824","2009-06-08 12:15:00","MDT","Yes","RLS","USGS",4.84,348,"13.1",-0.09,0.3,"GOOD",0,1,"CLER","UNSP",1,"","WADE","QSCMM","VPAA",348,71,219,1.59,"SOFT","SILT","EVEN","STDY","EVEN","UNSP","DNST",500,"sevier r",0.00030636,39.48189754,-112.3938338,20.345757,21.655,0.48495,0.00030636,0.939540845070422,0.0346228523352849
"242833",3811034,"USGS",6770500,"768","1954-03-24","","Yes","Campbell","USGS",2.72,1130,"",NA,NA,"GOOD",0,NA,"CLER","UNSP",1,"","BRDS","QSCMM","",1130,617,630,1.79,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"platte r",0.00188679,40.8744567,-98.2820044,58.52889,188.185,0.54595,0.00188679,0.311017828200972,0.0365229432828066
"169472",130692,"USGS",6065500,"223","2014-05-22 13:25:30","MDT","Yes","KLS","USGS",6.13,8210,"",NA,NA,"Fair",-0.03,0.6,"Clear","MEAS",1,"Imported Channel 1","CWAY","QADCP","VADCP",8210,255,1730,4.75,"FIRM","BLDR","UNEV","unkn","UNEV","NSTD","DNST",300,"missouri r",0.05983606,46.76619167,-111.8887944,160.72219,77.775,1.44875,0.05983606,2.06650196078431,0.273933571620518
"218314",1521022,"USGS",3303280,"151","2008-08-12 12:03:00","CDT","Yes","GKM/PJB","USGS",10.62,2940,"",NA,NA,"Fair",NA,NA,"Clear","UNSP",1,"Imported Channel 1","MBOT","QADCP","VADCP",2940,1630,76000,0.04,"SOFT","silt","UNEV","unkn","UNEV","UNSP","UPST",7920,"ohio r",0.00264906,37.89950088,-86.70554179,7060.628,497.15,0.0122,0.00264906,14.2022085889571,24.7413461102558
"335785",564406,"USGS",10338000,"561","2015-08-04 16:00:00","PDT","Yes","avm","USGS",0.64,3.81,"17.1",0.04,-2.3,"FAIR",-0.02,1,"CLER","MEAS",1,"main channel","WADE","QSCMM","VPYG",3.81,12.5,5.77,0.66,"FIRM","CBLS","EVEN","STDY","UNSP","UNKN","DNST",250,"truckee r",0.00435102,39.2962952,-120.2054752,0.53605031,3.8125,0.2013,0.00435102,0.14060336,0.0886030960508296
"289152",532388,"USGS",9480000,"513","1985-02-25","","Yes","JJL","USGS",2.03,13.6," 8.0",0.01,1.5,"GOOD",0,0.5,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",13.6,15.4,8.52,1.6,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"santa cruz r",0.00601338,31.35537817,-110.5895264,0.79153356,4.697,0.488,0.00601338,0.168518961038961,0.0484810500571565
"106082",484173,"USGS",4113000,"483","1996-10-09 15:00:00","EST","Yes","RLL","USGS",2.18,173,"12.0",-0.04,-0.6,"FAIR",0,0.5,"HVDB","MEAS",1,"Unspecified","WADE","QUNSP","",173,106,161,1.07,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"grand r",0.00055317,42.75059039,-84.555257,14.957383,32.33,0.32635,0.00055317,0.462647169811321,0.0431100935876871
