k600,Vms,Qm3s,slope,depth,width,place,data1,data
21.53000,0.15000,0.02800,0.02655,0.11000,1.60000,Austria,Schelker et al.,Schelker et al. 2016
75.49000,0.51000,0.21000,0.02655,0.20000,2.03000,Austria,Schelker et al.,Schelker et al. 2016
19.60000,0.23000,0.05181,0.02655,0.11000,1.97000,Austria,Schelker et al.,Schelker et al. 2016
17.69000,0.35000,0.62000,0.00728,0.25000,7.11000,Austria,Schelker et al.,Schelker et al. 2016
19.75000,0.11000,0.04103,0.10929,0.11000,3.36000,Austria,Schelker et al.,Schelker et al. 2016
13.48000,0.24000,0.07450,0.00850,0.06000,4.79000,Austria,Schelker et al.,Schelker et al. 2016
5.19000,0.06000,0.04594,0.00850,0.22000,2.80000,Austria,Schelker et al.,Schelker et al. 2016
39.74000,0.24000,0.06360,0.04319,0.10000,2.66000,Austria,Schelker et al.,Schelker et al. 2016
4.92000,0.54000,0.75000,0.00173,0.27000,5.00000,Austria,Schelker et al.,Schelker et al. 2016
8.61000,0.41000,0.45000,0.00173,0.21000,4.94000,Austria,Schelker et al.,Schelker et al. 2016
5.61000,0.21000,0.19000,0.00173,0.18000,4.66000,Austria,Schelker et al.,Schelker et al. 2016
15.71000,0.55000,0.66000,0.00173,0.22000,5.37000,Austria,Schelker et al.,Schelker et al. 2016
2.86000,0.38000,0.38000,0.00173,0.19000,5.01000,Austria,Schelker et al.,Schelker et al. 2016
13.15000,0.40000,0.21000,0.00426,0.09000,4.94000,Austria,Schelker et al.,Schelker et al. 2016
24.64000,0.34000,0.15000,0.00426,0.09000,4.73000,Austria,Schelker et al.,Schelker et al. 2016
17.02000,0.38000,0.33000,0.00426,0.18000,4.76000,Austria,Schelker et al.,Schelker et al. 2016
20.69000,0.38000,0.36000,0.00204,0.20000,4.66000,Austria,Schelker et al.,Schelker et al. 2016
13.06000,0.18000,0.10410,0.00318,0.19000,3.07000,Austria,Schelker et al.,Schelker et al. 2016
29.32000,0.41000,0.11844,0.01125,0.10000,2.74000,Austria,Schelker et al.,Schelker et al. 2016
12.67000,0.18000,0.03380,0.01125,0.09000,1.94000,Austria,Schelker et al.,Schelker et al. 2016
12.20000,0.35000,0.09200,0.01125,0.10000,2.45000,Austria,Schelker et al.,Schelker et al. 2016
14.10000,0.50000,0.20302,0.01125,0.14000,2.81000,Austria,Schelker et al.,Schelker et al. 2016
33.40000,0.42000,0.13403,0.01125,0.11000,2.93000,Austria,Schelker et al.,Schelker et al. 2016
9.01000,0.28000,0.09444,0.01125,0.12000,2.61000,Austria,Schelker et al.,Schelker et al. 2016
11.10000,0.06000,0.00294,0.10072,0.08000,0.54000,Austria,Schelker et al.,Schelker et al. 2016
7.69000,0.08000,0.00404,0.10072,0.11000,0.41000,Austria,Schelker et al.,Schelker et al. 2016
50.17000,0.18000,0.00949,0.10072,0.07000,0.72000,Austria,Schelker et al.,Schelker et al. 2016
15.33000,0.07000,0.00262,0.10072,0.07000,0.56000,Austria,Schelker et al.,Schelker et al. 2016
5.46000,0.04000,0.00116,0.10072,0.07000,0.41000,Austria,Schelker et al.,Schelker et al. 2016
13.34000,0.18000,0.06447,0.02472,0.11000,3.04000,Austria,Schelker et al.,Schelker et al. 2016
89.83000,0.07000,0.01240,0.07134,0.12000,1.47000,Austria,Schelker et al.,Schelker et al. 2016
11.57000,0.03000,0.00769,0.07134,0.20000,1.05000,Austria,Schelker et al.,Schelker et al. 2016
143.60000,0.05000,0.01240,0.06555,0.21000,2.12000,Austria,Schelker et al.,Schelker et al. 2016
18.81000,0.15000,0.02300,0.04449,0.08000,1.79000,Austria,Schelker et al.,Schelker et al. 2016
30.93000,0.17000,0.03200,0.04449,0.10000,1.95000,Austria,Schelker et al.,Schelker et al. 2016
101.25000,0.52000,0.17798,0.04449,0.11000,2.92000,Austria,Schelker et al.,Schelker et al. 2016
24.38000,0.16000,0.02553,0.04449,0.08000,2.03000,Austria,Schelker et al.,Schelker et al. 2016
11.65000,0.22000,0.04900,0.04449,0.08000,2.81000,Austria,Schelker et al.,Schelker et al. 2016
13.31000,0.24000,0.05977,0.04449,0.09000,2.58000,Austria,Schelker et al.,Schelker et al. 2016
10.98000,0.08000,0.00618,0.01615,0.07000,1.02000,Austria,Schelker et al.,Schelker et al. 2016
59.74000,0.54000,0.26100,0.02745,0.15000,3.28000,Austria,Schelker et al.,Schelker et al. 2016
68.57000,0.45000,0.15452,0.02745,0.10000,3.31000,Austria,Schelker et al.,Schelker et al. 2016
12.34000,0.08000,0.00490,0.05661,0.07000,0.56000,Austria,Schelker et al.,Schelker et al. 2016
19.34357,0.19400,0.08470,0.04250,0.12400,3.52300,Raymond,Raymond et al.,Raymond et al. 2012
34.27559,0.54100,7.71900,0.00630,0.58000,24.60000,Raymond,Raymond et al.,Raymond et al. 2012
4.96627,0.46000,2.84990,0.00840,0.50000,12.39100,Raymond,Raymond et al.,Raymond et al. 2012
15.76222,0.63000,7.75660,0.00480,0.57000,21.60000,Raymond,Raymond et al.,Raymond et al. 2012
19.94176,0.56200,4.35660,0.00875,0.34000,22.80000,Raymond,Raymond et al.,Raymond et al. 2012
9.62315,0.30600,0.68670,0.01760,0.22000,10.20000,Raymond,Raymond et al.,Raymond et al. 2012
16.64831,0.53400,3.20400,0.00738,0.30000,20.00000,Raymond,Raymond et al.,Raymond et al. 2012
14.90311,0.46300,3.49470,0.00600,0.34000,22.20000,Raymond,Raymond et al.,Raymond et al. 2012
8.53230,0.54600,2.95990,0.00428,0.39000,13.90000,Raymond,Raymond et al.,Raymond et al. 2012
12.88751,0.54000,1.89490,0.00580,0.29000,12.10000,Raymond,Raymond et al.,Raymond et al. 2012
3.73563,0.64700,3.75970,0.00330,0.39000,14.90000,Raymond,Raymond et al.,Raymond et al. 2012
11.91116,0.30900,0.62420,0.01230,0.20000,10.10000,Raymond,Raymond et al.,Raymond et al. 2012
12.08026,0.36000,1.11890,0.00700,0.28000,11.10000,Raymond,Raymond et al.,Raymond et al. 2012
4.65639,0.57800,3.35010,0.00330,0.36000,16.10000,Raymond,Raymond et al.,Raymond et al. 2012
13.41851,0.24200,0.40630,0.01100,0.23000,7.30000,Raymond,Raymond et al.,Raymond et al. 2012
12.17329,0.34700,0.89110,0.00700,0.24000,10.70000,Raymond,Raymond et al.,Raymond et al. 2012
5.07384,0.32100,0.77680,0.00800,0.22000,11.00000,Raymond,Raymond et al.,Raymond et al. 2012
9.14402,0.27100,0.41730,0.01030,0.20000,7.70000,Raymond,Raymond et al.,Raymond et al. 2012
4.92738,0.46000,4.02060,0.00210,0.50000,17.48100,Raymond,Raymond et al.,Raymond et al. 2012
7.84802,0.39100,1.39390,0.00360,0.31000,11.50000,Raymond,Raymond et al.,Raymond et al. 2012
8.45104,0.16800,1.12040,0.00656,0.39000,17.10000,Raymond,Raymond et al.,Raymond et al. 2012
9.64342,0.33500,1.34870,0.00384,0.33000,12.20000,Raymond,Raymond et al.,Raymond et al. 2012
11.02099,0.20200,0.25760,0.01320,0.15000,8.50000,Raymond,Raymond et al.,Raymond et al. 2012
6.71491,0.20900,0.33360,0.00990,0.19000,8.40000,Raymond,Raymond et al.,Raymond et al. 2012
11.15450,0.21000,0.42600,0.00500,0.33000,6.14700,Raymond,Raymond et al.,Raymond et al. 2012
4.01981,0.26200,2.47850,0.00223,0.55000,17.20000,Raymond,Raymond et al.,Raymond et al. 2012
8.76489,0.11900,1.10020,0.00600,0.43000,21.50000,Raymond,Raymond et al.,Raymond et al. 2012
4.24065,0.13500,0.18860,0.00830,0.27000,5.17300,Raymond,Raymond et al.,Raymond et al. 2012
6.49591,0.20800,0.88170,0.00522,0.27000,15.70000,Raymond,Raymond et al.,Raymond et al. 2012
7.52535,0.19500,0.60060,0.00728,0.20000,15.40000,Raymond,Raymond et al.,Raymond et al. 2012
4.21997,0.21000,0.09800,0.00580,0.22000,2.12200,Raymond,Raymond et al.,Raymond et al. 2012
17.07701,0.22400,0.01610,0.01470,0.08000,0.90000,Raymond,Raymond et al.,Raymond et al. 2012
7.74877,0.16600,0.04660,0.00860,0.18400,1.52700,Raymond,Raymond et al.,Raymond et al. 2012
5.87131,0.25600,0.66300,0.00290,0.35000,7.40000,Raymond,Raymond et al.,Raymond et al. 2012
9.04543,0.16000,0.21500,0.01000,0.16000,8.40000,Raymond,Raymond et al.,Raymond et al. 2012
7.24495,0.14300,0.00480,0.01330,0.13000,0.26000,Raymond,Raymond et al.,Raymond et al. 2012
5.12263,0.15000,0.16380,0.01230,0.13000,8.40000,Raymond,Raymond et al.,Raymond et al. 2012
5.85720,0.14500,0.01320,0.01470,0.11000,0.82700,Raymond,Raymond et al.,Raymond et al. 2012
6.37521,0.12700,0.18290,0.00920,0.20000,7.20000,Raymond,Raymond et al.,Raymond et al. 2012
4.88022,0.11900,0.29990,0.00800,0.24000,10.50000,Raymond,Raymond et al.,Raymond et al. 2012
10.69925,0.14000,0.01410,0.01470,0.11000,0.91300,Raymond,Raymond et al.,Raymond et al. 2012
5.24813,0.18200,0.14410,0.01100,0.11000,7.20000,Raymond,Raymond et al.,Raymond et al. 2012
6.29873,0.20900,0.21670,0.00420,0.25000,4.14800,Raymond,Raymond et al.,Raymond et al. 2012
5.65637,0.15500,0.14240,0.00750,0.18300,5.01900,Raymond,Raymond et al.,Raymond et al. 2012
5.40143,0.24000,0.68640,0.00340,0.26000,11.00000,Raymond,Raymond et al.,Raymond et al. 2012
5.35514,0.07300,0.04860,0.01260,0.23000,2.89600,Raymond,Raymond et al.,Raymond et al. 2012
9.73867,0.21100,0.15990,0.00380,0.26000,2.91600,Raymond,Raymond et al.,Raymond et al. 2012
3.62977,0.20500,0.76690,0.00343,0.29000,12.90000,Raymond,Raymond et al.,Raymond et al. 2012
8.38158,0.22300,0.12520,0.00640,0.14000,4.01000,Raymond,Raymond et al.,Raymond et al. 2012
12.24154,0.21000,0.50300,0.00400,0.23000,10.41500,Raymond,Raymond et al.,Raymond et al. 2012
3.51924,0.21100,0.38820,0.00380,0.23000,8.00000,Raymond,Raymond et al.,Raymond et al. 2012
4.24959,0.10400,0.02720,0.00880,0.20000,1.30800,Raymond,Raymond et al.,Raymond et al. 2012
10.07437,0.09600,0.01390,0.01330,0.14000,1.03100,Raymond,Raymond et al.,Raymond et al. 2012
8.21245,0.09600,0.01620,0.01330,0.14000,1.20700,Raymond,Raymond et al.,Raymond et al. 2012
9.52212,0.09400,0.03250,0.01260,0.15000,2.30200,Raymond,Raymond et al.,Raymond et al. 2012
3.78579,0.12000,0.15360,0.00898,0.16000,8.00000,Raymond,Raymond et al.,Raymond et al. 2012
4.39961,0.18000,0.65770,0.00330,0.29000,12.60000,Raymond,Raymond et al.,Raymond et al. 2012
9.94402,0.15500,1.05460,0.00392,0.28000,24.30000,Raymond,Raymond et al.,Raymond et al. 2012
10.97692,0.09800,0.05000,0.01140,0.15000,3.40000,Raymond,Raymond et al.,Raymond et al. 2012
10.61766,0.13800,0.01540,0.03000,0.04000,2.78700,Raymond,Raymond et al.,Raymond et al. 2012
8.47218,0.09700,0.02060,0.02080,0.08000,2.65100,Raymond,Raymond et al.,Raymond et al. 2012
12.05301,0.22500,0.19510,0.00650,0.11000,7.88300,Raymond,Raymond et al.,Raymond et al. 2012
3.95314,0.09500,0.08390,0.00830,0.20000,4.41300,Raymond,Raymond et al.,Raymond et al. 2012
7.63756,0.19700,0.14300,0.00720,0.11000,6.60000,Raymond,Raymond et al.,Raymond et al. 2012
0.96125,0.08900,0.01980,0.00880,0.19700,1.13100,Raymond,Raymond et al.,Raymond et al. 2012
4.23340,0.09500,0.07750,0.01330,0.12000,6.80000,Raymond,Raymond et al.,Raymond et al. 2012
5.84352,0.14200,0.39660,0.00559,0.19000,14.70000,Raymond,Raymond et al.,Raymond et al. 2012
2.95160,0.11100,0.02670,0.00860,0.15700,1.53200,Raymond,Raymond et al.,Raymond et al. 2012
3.50847,0.08900,0.08810,0.00920,0.18000,5.50000,Raymond,Raymond et al.,Raymond et al. 2012
4.32990,0.10700,0.07890,0.01230,0.11000,6.70000,Raymond,Raymond et al.,Raymond et al. 2012
5.05453,0.15400,0.05030,0.00470,0.20000,1.63300,Raymond,Raymond et al.,Raymond et al. 2012
3.51552,0.14000,0.03950,0.00470,0.21000,1.34200,Raymond,Raymond et al.,Raymond et al. 2012
4.57500,0.22400,0.11610,0.00380,0.16000,3.24000,Raymond,Raymond et al.,Raymond et al. 2012
4.84947,0.09000,0.09130,0.01160,0.13000,7.80000,Raymond,Raymond et al.,Raymond et al. 2012
5.12511,0.12900,0.10050,0.00750,0.14000,5.56700,Raymond,Raymond et al.,Raymond et al. 2012
5.80992,0.09500,0.07940,0.00640,0.22000,3.80000,Raymond,Raymond et al.,Raymond et al. 2012
7.24565,0.11000,0.01090,0.03000,0.04000,2.48000,Raymond,Raymond et al.,Raymond et al. 2012
5.68603,0.13700,0.11770,0.00530,0.18000,4.77400,Raymond,Raymond et al.,Raymond et al. 2012
7.27841,0.10800,0.01080,0.03000,0.04000,2.50200,Raymond,Raymond et al.,Raymond et al. 2012
2.91079,0.12100,0.10120,0.00951,0.11000,7.60000,Raymond,Raymond et al.,Raymond et al. 2012
6.07880,0.15900,0.11110,0.00530,0.15000,4.66000,Raymond,Raymond et al.,Raymond et al. 2012
6.01576,0.17500,0.11270,0.00720,0.10000,6.44000,Raymond,Raymond et al.,Raymond et al. 2012
6.84350,0.13600,0.09870,0.00820,0.11000,6.60000,Raymond,Raymond et al.,Raymond et al. 2012
4.34340,0.07700,0.03880,0.01320,0.12000,4.20000,Raymond,Raymond et al.,Raymond et al. 2012
3.92686,0.14000,0.09240,0.00380,0.22000,3.00000,Raymond,Raymond et al.,Raymond et al. 2012
7.17326,0.12800,0.03280,0.01140,0.07900,3.24800,Raymond,Raymond et al.,Raymond et al. 2012
2.30068,0.13500,0.10710,0.00420,0.20000,3.96800,Raymond,Raymond et al.,Raymond et al. 2012
2.46637,0.10700,0.17100,0.00619,0.17000,9.40000,Raymond,Raymond et al.,Raymond et al. 2012
4.76531,0.13500,0.01400,0.01020,0.08000,1.29200,Raymond,Raymond et al.,Raymond et al. 2012
4.12500,0.13000,0.20880,0.00400,0.21000,7.64900,Raymond,Raymond et al.,Raymond et al. 2012
3.09339,0.07100,0.06750,0.00779,0.19000,5.00000,Raymond,Raymond et al.,Raymond et al. 2012
6.02350,0.11500,0.09230,0.00825,0.11000,7.30000,Raymond,Raymond et al.,Raymond et al. 2012
6.82449,0.14000,0.10580,0.00530,0.14000,5.40000,Raymond,Raymond et al.,Raymond et al. 2012
1.00781,0.11800,0.03440,0.00580,0.15000,1.94600,Raymond,Raymond et al.,Raymond et al. 2012
4.19447,0.06100,0.01540,0.02080,0.08000,3.14900,Raymond,Raymond et al.,Raymond et al. 2012
7.87354,0.06100,0.01540,0.02080,0.08000,3.16000,Raymond,Raymond et al.,Raymond et al. 2012
1.88090,0.10000,0.42660,0.00562,0.18000,23.70000,Raymond,Raymond et al.,Raymond et al. 2012
1.00165,0.18300,0.86960,0.00223,0.24000,19.80000,Raymond,Raymond et al.,Raymond et al. 2012
4.62526,0.05100,0.01050,0.00880,0.21000,0.98300,Raymond,Raymond et al.,Raymond et al. 2012
4.96089,0.16900,0.37550,0.00251,0.22000,10.10000,Raymond,Raymond et al.,Raymond et al. 2012
1.40393,0.11300,0.02990,0.00580,0.14000,1.89100,Raymond,Raymond et al.,Raymond et al. 2012
4.48428,0.20000,0.12290,0.00650,0.07000,8.77500,Raymond,Raymond et al.,Raymond et al. 2012
5.09649,0.04500,0.01450,0.01260,0.16000,2.01200,Raymond,Raymond et al.,Raymond et al. 2012
2.90815,0.04400,0.04130,0.00900,0.22000,4.26300,Raymond,Raymond et al.,Raymond et al. 2012
3.02768,0.09800,0.23520,0.00360,0.24000,10.00000,Raymond,Raymond et al.,Raymond et al. 2012
3.98844,0.11000,0.14340,0.00400,0.19000,6.86200,Raymond,Raymond et al.,Raymond et al. 2012
4.35475,0.09800,0.07680,0.00530,0.16000,4.90000,Raymond,Raymond et al.,Raymond et al. 2012
5.08022,0.08000,0.00490,0.01470,0.07000,0.87700,Raymond,Raymond et al.,Raymond et al. 2012
5.11399,0.09200,0.05330,0.00640,0.13900,4.17100,Raymond,Raymond et al.,Raymond et al. 2012
6.58340,0.13400,0.06000,0.00380,0.16000,2.80000,Raymond,Raymond et al.,Raymond et al. 2012
2.77064,0.09000,0.07920,0.00557,0.16000,5.50000,Raymond,Raymond et al.,Raymond et al. 2012
5.78635,0.07800,0.05240,0.00640,0.16000,4.20000,Raymond,Raymond et al.,Raymond et al. 2012
3.10939,0.07000,0.00970,0.01020,0.11000,1.25400,Raymond,Raymond et al.,Raymond et al. 2012
4.17847,0.11100,0.05580,0.00380,0.18100,2.77700,Raymond,Raymond et al.,Raymond et al. 2012
3.38371,0.07900,0.22990,0.00638,0.15000,19.40000,Raymond,Raymond et al.,Raymond et al. 2012
13.23030,0.04600,0.00600,0.01330,0.12000,1.08400,Raymond,Raymond et al.,Raymond et al. 2012
1.77681,0.19200,0.05230,0.00750,0.05000,5.45100,Raymond,Raymond et al.,Raymond et al. 2012
13.07802,0.06000,0.00490,0.03000,0.04000,2.04300,Raymond,Raymond et al.,Raymond et al. 2012
5.85815,0.12100,0.07040,0.00530,0.11000,5.29200,Raymond,Raymond et al.,Raymond et al. 2012
3.70401,0.11900,0.08230,0.00650,0.09000,7.68500,Raymond,Raymond et al.,Raymond et al. 2012
5.67718,0.11500,0.04550,0.00530,0.11000,3.60000,Raymond,Raymond et al.,Raymond et al. 2012
2.73172,0.10000,0.00700,0.01330,0.05000,1.39600,Raymond,Raymond et al.,Raymond et al. 2012
4.37931,0.07500,0.02020,0.01140,0.07700,3.49600,Raymond,Raymond et al.,Raymond et al. 2012
7.72424,0.11600,0.01950,0.00470,0.12000,1.40000,Raymond,Raymond et al.,Raymond et al. 2012
4.54936,0.04000,0.02730,0.00900,0.18000,3.79100,Raymond,Raymond et al.,Raymond et al. 2012
4.73087,0.10600,0.04430,0.00530,0.11000,3.80000,Raymond,Raymond et al.,Raymond et al. 2012
2.90782,0.14400,0.03990,0.00380,0.11000,2.52000,Raymond,Raymond et al.,Raymond et al. 2012
5.19130,0.09800,0.03400,0.00510,0.12000,2.89100,Raymond,Raymond et al.,Raymond et al. 2012
8.87066,0.08700,0.01180,0.00860,0.08000,1.70000,Raymond,Raymond et al.,Raymond et al. 2012
